,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,40,4,1,2,0,3036,1,0,0,4,8,261,0,0,0,0,0
1,26,9,2,1,0,945,1,0,0,4,8,151,0,0,0,0,0
2,15,2,1,1,0,918,1,1,0,4,8,76,0,0,0,0,0
3,29,1,1,3,0,2420,1,0,0,4,8,92,0,0,0,0,0
4,15,11,2,3,0,917,0,0,0,4,8,198,0,0,0,0,0
5,17,4,1,2,0,1147,1,0,0,4,8,139,0,0,0,0,0
6,10,4,2,2,0,1363,1,1,0,4,8,217,0,0,0,0,0
7,24,2,0,2,1,918,1,0,0,4,8,380,0,0,0,0,0
8,40,5,1,0,0,1037,1,0,0,4,8,50,0,0,0,0,0
9,25,9,2,1,0,1509,1,0,0,4,8,55,0,0,0,0,0
10,23,0,0,1,0,1186,1,0,0,4,8,222,0,0,0,0,0
11,11,0,2,1,0,1306,1,0,0,4,8,137,0,0,0,0,0
12,35,9,1,1,0,922,1,0,0,4,8,517,0,0,0,0,0
13,40,9,1,3,0,987,1,0,0,4,8,71,0,0,0,0,0
14,39,7,1,1,0,1078,1,0,0,4,8,174,0,0,0,0,0
15,33,5,1,0,0,1145,1,0,0,4,8,353,0,0,0,0,0
16,27,0,2,3,0,929,1,0,0,4,8,98,0,0,0,0,0
17,39,1,1,0,0,968,1,0,0,4,8,38,0,0,0,0,0
18,42,5,1,0,0,976,1,0,0,4,8,219,0,0,0,0,0
19,15,7,1,1,0,916,1,0,0,4,8,54,0,0,0,0,0
20,10,1,1,1,0,1639,1,1,0,4,8,262,0,0,0,0,0
21,38,4,1,2,0,1695,1,0,0,4,8,164,0,0,0,0,0
22,14,1,2,0,0,939,1,1,0,4,8,160,0,0,0,0,0
23,7,7,1,1,0,966,1,0,0,4,8,342,0,0,0,0,0
24,22,5,1,0,0,916,1,1,0,4,8,181,0,0,0,0,0
25,26,0,1,1,0,547,1,0,0,4,8,172,0,0,0,0,0
26,21,4,2,2,0,1171,1,0,0,4,8,296,0,0,0,0,0
27,34,2,1,1,0,1029,1,1,0,4,8,127,0,0,0,0,0
28,28,4,2,1,0,670,1,0,0,4,8,255,1,0,0,0,0
29,18,9,2,1,0,1181,1,1,0,4,8,348,0,0,0,0,0
30,39,9,1,1,0,1755,0,1,0,4,8,225,0,0,0,0,0
31,31,4,1,2,0,1294,1,0,0,4,8,230,0,0,0,0,0
32,42,0,1,1,0,955,1,1,0,4,8,208,0,0,0,0,0
33,41,1,1,1,0,916,1,0,0,4,8,226,0,0,0,0,0
34,33,4,1,2,0,6573,1,0,0,4,8,336,0,0,0,0,0
35,39,9,0,1,0,979,1,0,0,4,8,242,0,0,0,0,0
36,7,1,1,1,0,909,1,0,0,4,8,365,0,0,0,0,0
37,35,9,1,1,0,913,0,0,0,4,8,1443,0,0,0,0,0
38,18,0,0,1,0,1422,1,0,0,4,8,577,0,0,0,0,0
39,19,0,2,1,0,916,1,0,0,4,8,137,0,0,0,0,0
40,26,7,0,1,0,3443,1,0,0,4,8,160,0,0,0,0,0
41,32,4,1,1,0,965,1,0,0,4,8,180,1,0,0,0,0
42,42,1,1,3,0,1020,1,0,0,4,8,22,0,0,0,0,0
43,36,5,1,1,0,1445,1,0,0,4,8,1374,0,0,0,0,0
44,40,5,1,3,0,1012,1,0,0,4,8,616,0,0,0,0,0
45,18,0,2,0,0,745,1,0,0,4,8,242,0,0,0,0,0
46,40,6,1,2,0,555,1,0,0,4,8,355,0,0,0,0,0
47,26,9,1,1,0,916,1,0,0,4,8,225,1,0,0,0,0
48,37,9,0,1,0,916,0,0,0,4,8,160,0,0,0,0,0
49,11,4,2,2,0,916,1,0,0,4,8,363,0,0,0,0,0
50,36,1,1,1,0,2207,1,0,0,4,8,266,0,0,0,0,0
51,30,4,0,2,0,672,1,0,0,4,8,253,0,0,0,0,0
52,14,4,1,2,0,916,1,0,0,4,8,179,0,0,0,0,0
53,24,0,2,1,0,840,1,0,0,4,8,787,0,0,0,0,0
54,6,9,2,1,0,813,1,1,0,4,8,145,0,0,0,0,0
55,20,2,2,2,0,1159,0,1,0,4,8,174,0,0,0,0,0
56,20,4,2,2,0,1340,1,0,0,4,8,104,0,0,0,0,0
57,29,1,1,3,0,1222,1,0,0,4,8,13,0,0,0,0,0
58,22,1,2,3,0,940,1,0,0,4,8,185,0,0,0,0,0
59,28,7,1,0,0,1095,1,0,0,4,8,1468,0,0,0,0,0
60,14,0,1,2,0,916,1,0,0,4,8,138,0,0,0,0,0
61,35,9,0,1,0,1905,1,0,0,4,8,812,0,0,0,0,0
62,39,1,1,0,0,1165,1,0,0,4,8,164,0,0,0,0,0
63,15,7,1,1,0,1706,1,0,0,4,8,391,0,0,0,0,0
64,31,1,1,3,0,1070,1,0,0,4,8,357,0,0,0,0,0
65,33,4,1,2,0,5761,1,0,0,4,8,91,0,0,0,0,0
66,42,5,1,2,0,1016,0,0,0,4,8,528,0,0,0,0,0
67,41,4,0,2,0,975,1,0,0,4,8,273,0,0,0,0,0
68,37,9,1,1,0,2121,1,0,0,4,8,158,1,0,0,0,0
69,17,1,2,1,0,6712,1,1,0,4,8,177,0,0,0,0,0
70,39,1,1,1,0,5555,1,1,0,4,8,258,0,0,0,0,0
71,13,7,1,1,0,941,1,1,0,4,8,172,0,0,0,0,0
72,36,4,1,1,0,1198,1,1,0,4,8,154,0,0,0,0,0
73,37,1,1,0,0,939,1,0,0,4,8,291,0,0,0,0,0
74,25,9,1,1,0,2840,1,0,0,4,8,181,0,0,0,0,0
75,35,9,1,1,0,1300,1,0,0,4,8,176,0,0,0,0,0
76,26,1,1,1,0,1498,0,1,0,4,8,211,0,0,0,0,0
77,37,7,0,1,0,1007,0,0,0,4,8,349,0,0,0,0,0
78,31,7,0,1,0,916,1,1,0,4,8,272,0,0,0,0,0
79,37,7,0,1,1,917,1,0,0,4,8,208,0,0,0,0,0
80,27,0,2,1,0,1122,1,0,0,4,8,193,0,0,0,0,0
81,29,7,0,1,0,1080,0,0,0,4,8,212,0,0,0,0,0
82,24,9,2,1,0,1606,1,0,0,4,8,20,0,0,0,0,0
83,41,0,1,1,0,3223,1,0,0,4,8,1038,0,0,0,0,1
84,28,6,1,2,0,1053,1,1,0,4,8,246,0,0,0,0,0
85,33,1,1,0,0,1089,1,0,0,4,8,529,1,0,0,0,0
86,38,0,1,1,0,961,0,0,0,4,8,1359,0,0,0,0,1
87,23,9,1,1,0,2186,1,0,0,4,8,1313,0,0,0,0,1
88,28,4,0,1,0,932,1,1,0,4,8,188,1,0,0,0,0
89,39,5,1,1,0,1402,1,0,0,4,8,180,1,0,0,0,0
90,24,4,2,1,0,966,0,0,0,4,8,48,0,0,0,0,0
91,12,9,1,1,0,1068,1,1,0,4,8,213,1,0,0,0,0
92,42,0,1,1,0,1206,1,0,0,4,8,583,0,0,0,0,0
93,42,1,1,3,0,970,1,0,0,4,8,221,0,0,0,0,0
94,39,2,0,1,0,879,0,0,0,4,8,173,0,0,0,0,0
95,18,4,1,2,0,1017,1,1,0,4,8,426,0,0,0,0,0
96,37,1,1,1,0,1299,0,0,0,4,8,287,0,0,0,0,0
97,42,5,1,2,0,997,1,0,0,4,8,101,0,0,0,0,0
98,21,9,1,1,0,916,1,0,0,4,8,203,0,0,0,0,0
99,28,4,1,2,0,1145,1,0,0,4,8,197,0,0,0,0,0
100,26,1,1,1,0,288,1,0,0,4,8,257,0,0,0,0,0
101,35,1,1,0,0,1006,0,0,0,4,8,124,0,0,0,0,0
102,34,1,1,0,0,1044,1,0,0,4,8,229,0,0,0,0,0
103,41,1,1,0,0,1095,1,0,0,4,8,55,2,0,0,0,0
104,9,9,2,2,0,916,1,0,0,4,8,400,0,0,0,0,0
105,26,1,1,1,0,970,1,0,0,4,8,197,0,0,0,0,0
106,29,9,1,2,0,1067,1,0,0,4,8,190,0,0,0,0,0
107,16,0,1,1,0,977,0,1,0,4,8,21,0,0,0,0,0
108,41,5,2,1,0,946,1,0,0,4,8,514,0,0,0,0,0
109,27,4,1,2,0,1439,1,0,0,4,8,848,1,0,0,0,0
110,11,7,0,1,0,947,1,0,0,4,8,194,0,0,0,0,0
111,28,9,0,1,0,995,0,0,0,4,8,144,0,0,0,0,0
112,38,6,1,0,0,882,1,1,0,4,8,212,1,0,0,0,0
113,18,1,1,0,0,1364,1,0,0,4,8,286,0,0,0,0,0
114,41,5,0,0,0,997,1,0,0,4,8,107,0,0,0,0,0
115,26,1,1,1,0,1060,1,0,0,4,8,247,1,0,0,0,0
116,23,0,1,1,0,1267,1,0,0,4,8,518,0,0,0,0,0
117,15,4,2,2,0,849,1,0,0,4,8,364,0,0,0,0,0
118,41,4,0,2,0,1178,0,0,0,4,8,178,0,0,0,0,0
119,39,9,1,0,0,916,0,0,0,4,8,98,0,0,0,0,0
120,38,9,0,3,0,972,1,0,0,4,8,439,0,0,0,0,0
121,33,1,1,1,0,942,1,0,0,4,8,79,0,0,0,0,0
122,16,0,1,3,0,919,1,0,0,4,8,120,2,0,0,0,0
123,25,7,1,1,0,957,1,1,0,4,8,127,1,0,0,0,0
124,34,9,1,2,0,923,0,1,0,4,8,175,0,0,0,0,0
125,15,9,2,1,0,1021,1,0,0,4,8,262,1,0,0,0,0
126,11,0,2,1,0,1734,1,1,0,4,8,61,0,0,0,0,0
127,16,7,1,1,0,900,1,1,0,4,8,78,0,0,0,0,0
128,13,1,1,1,0,916,1,0,0,4,8,143,0,0,0,0,0
129,37,7,1,1,0,3344,1,0,0,4,8,579,0,0,0,0,1
130,37,4,1,3,0,2101,0,0,0,4,8,677,0,0,0,0,0
131,14,0,2,1,0,1133,1,0,0,4,8,345,0,0,0,0,0
132,20,9,2,1,0,2595,1,0,0,4,8,185,0,0,0,0,0
133,37,0,2,1,0,1718,1,1,0,4,8,100,1,0,0,0,0
134,10,10,2,2,0,916,1,0,0,4,8,125,1,0,0,0,0
135,5,1,1,1,0,1010,1,0,0,4,8,193,0,0,0,0,0
136,14,9,2,1,0,916,1,0,0,4,8,136,0,0,0,0,0
137,25,7,2,3,0,916,0,0,0,4,8,73,0,0,0,0,0
138,14,1,1,1,0,1433,1,0,0,4,8,528,0,0,0,0,0
139,28,1,1,1,0,1181,1,0,0,4,8,541,0,0,0,0,0
140,35,3,0,0,0,1863,1,0,0,4,8,163,0,0,0,0,0
141,16,6,2,1,0,919,1,0,0,4,8,301,0,0,0,0,0
142,39,10,1,2,0,958,0,0,0,4,8,46,0,0,0,0,0
143,19,1,1,1,0,953,1,0,0,4,8,204,0,0,0,0,0
144,41,1,1,1,0,973,1,0,0,4,8,98,0,0,0,0,0
145,15,7,1,1,0,938,1,0,0,4,8,71,0,0,0,0,0
146,38,1,0,0,0,924,1,0,0,4,8,157,1,0,0,0,0
147,30,10,1,1,0,1209,1,0,0,4,8,243,0,0,0,0,0
148,25,7,1,0,0,919,1,0,0,4,8,186,1,0,0,0,0
149,36,1,1,0,0,1264,1,0,0,4,8,579,1,0,0,0,0
150,33,1,1,3,0,897,1,0,0,4,8,163,1,0,0,0,0
151,8,8,2,1,0,916,1,0,0,4,8,610,1,0,0,0,0
152,22,4,1,2,0,912,1,0,0,4,8,1521,0,0,0,0,0
153,21,4,1,1,0,934,1,0,0,4,8,85,0,0,0,0,0
154,32,9,1,0,0,1055,0,0,0,4,8,114,1,0,0,0,0
155,23,7,1,1,0,916,1,0,0,4,8,114,1,0,0,0,0
156,33,1,1,3,0,2787,1,0,0,4,8,57,0,0,0,0,0
157,42,5,0,1,0,1132,1,0,0,4,8,238,0,0,0,0,0
158,34,1,1,1,0,1698,1,0,0,4,8,93,2,0,0,0,0
159,30,1,1,1,0,1820,1,0,0,4,8,128,1,0,0,0,0
160,30,7,1,3,0,2615,1,0,0,4,8,107,0,0,0,0,0
161,21,9,2,2,0,963,1,0,0,4,8,181,0,0,0,0,0
162,29,7,2,1,0,1092,1,0,0,4,8,303,1,0,0,0,0
163,22,1,1,1,0,2141,1,0,0,4,8,558,4,0,0,0,0
164,27,9,1,1,0,1002,1,0,0,4,8,270,0,0,0,0,0
165,8,0,2,1,0,998,1,0,0,4,8,228,0,0,0,0,0
166,34,4,1,2,0,1187,1,0,0,4,8,99,0,0,0,0,0
167,36,9,1,1,0,2294,1,0,0,4,8,240,0,0,0,0,0
168,36,0,1,2,0,1100,0,0,0,4,8,673,1,0,0,0,1
169,32,1,1,0,0,916,0,0,0,4,8,233,2,0,0,0,0
170,17,1,1,1,0,916,1,0,0,4,8,1050,0,0,0,0,0
171,26,7,1,1,0,2273,1,1,0,4,8,250,0,0,0,0,0
172,35,2,1,3,0,935,1,0,0,4,8,252,0,0,0,0,0
173,17,5,2,0,0,1350,0,0,0,4,8,138,0,0,0,0,0
174,42,0,0,1,0,1008,1,0,0,4,8,130,0,0,0,0,0
175,35,0,0,1,0,2067,1,0,0,4,8,412,0,0,0,0,0
176,30,10,1,1,0,957,1,0,0,4,8,179,1,0,0,0,0
177,16,9,1,1,0,967,1,0,0,4,8,19,1,0,0,0,0
178,36,7,1,1,0,1130,1,0,0,4,8,458,1,0,0,0,0
179,33,4,1,1,0,2077,1,0,0,4,8,717,0,0,0,0,0
180,13,7,1,2,0,953,1,0,0,4,8,313,0,0,0,0,0
181,17,9,0,1,0,1703,1,0,0,4,8,683,1,0,0,0,0
182,17,7,1,1,0,975,1,0,0,4,8,1068,0,0,0,0,0
183,20,9,1,1,0,1169,1,0,0,4,8,416,0,0,0,0,0
184,18,0,1,2,0,1127,1,0,0,4,8,146,1,0,0,0,0
185,40,5,1,0,0,1151,1,0,0,4,8,167,0,0,0,0,0
186,22,7,0,3,0,4781,1,0,0,4,8,315,0,0,0,0,0
187,36,4,1,1,0,4599,0,0,0,4,8,140,0,0,0,0,0
188,16,1,2,1,0,969,1,1,0,4,8,346,0,0,0,0,0
189,13,4,2,2,0,916,1,0,0,4,8,562,0,0,0,0,0
190,33,5,1,1,0,3021,1,0,0,4,8,172,0,0,0,0,0
191,15,4,1,2,0,1293,1,0,0,4,8,217,0,0,0,0,0
192,37,4,1,2,0,989,1,0,0,4,8,142,1,0,0,0,0
193,24,0,1,1,0,1361,1,0,0,4,8,67,0,0,0,0,0
194,16,1,1,1,0,1159,1,0,0,4,8,291,0,0,0,0,0
195,15,1,2,1,0,1223,1,0,0,4,8,309,1,0,0,0,0
196,20,7,1,1,0,1071,1,0,0,4,8,248,0,0,0,0,0
197,32,9,0,2,0,1089,0,1,0,4,8,98,0,0,0,0,0
198,25,4,1,2,0,1316,1,0,0,4,8,256,0,0,0,0,0
199,43,1,0,0,0,2344,1,0,0,4,8,82,1,0,0,0,0
200,29,0,1,1,0,1135,1,0,0,4,8,577,0,0,0,0,0
201,30,6,1,2,0,923,1,0,0,4,8,286,0,0,0,0,0
202,26,1,1,1,0,1491,1,0,0,4,8,477,0,0,0,0,0
203,17,8,2,3,0,1214,1,0,0,4,8,611,1,0,0,0,0
204,17,7,1,1,0,916,1,0,0,4,8,471,0,0,0,0,0
205,32,7,1,1,0,5447,1,0,0,4,8,381,1,0,0,0,0
206,23,4,1,2,0,1092,1,1,0,4,8,42,0,0,0,0,0
207,23,4,1,2,0,1433,1,0,0,4,8,251,0,0,0,0,0
208,21,7,2,3,0,1173,1,0,0,4,8,408,0,0,0,0,0
209,24,5,1,1,0,972,1,0,0,4,8,215,0,0,0,0,0
210,20,1,1,1,0,532,1,0,0,4,8,287,0,0,0,0,0
211,35,5,1,1,0,1246,1,0,0,4,8,216,1,0,0,0,0
212,41,3,0,0,0,1111,0,0,0,4,8,366,1,0,0,0,0
213,18,7,1,1,0,1217,1,0,0,4,8,210,0,0,0,0,0
214,36,1,1,0,0,875,1,0,0,4,8,288,0,0,0,0,0
215,22,9,1,2,0,1399,1,0,0,4,8,168,0,0,0,0,0
216,29,11,1,3,0,944,0,0,0,4,8,338,1,0,0,0,0
217,35,10,1,3,0,929,0,0,0,4,8,410,2,0,0,0,0
218,28,3,1,0,0,1881,0,0,0,4,8,177,0,0,0,0,0
219,21,4,1,2,0,1294,1,1,0,4,8,127,1,0,0,0,0
220,22,10,1,1,0,1135,1,0,0,4,8,357,0,0,0,0,0
221,10,1,1,0,0,1240,1,0,0,4,8,175,0,0,0,0,0
222,17,2,0,1,0,847,1,0,0,4,8,300,0,0,0,0,0
223,37,5,1,1,0,916,0,1,0,4,8,136,0,0,0,0,0
224,25,9,0,3,0,1121,1,0,0,4,8,1331,0,0,0,0,0
225,30,1,1,0,0,1194,1,0,0,4,8,125,1,0,0,0,0
226,40,4,1,3,0,1981,1,0,0,4,8,213,2,0,0,0,0
227,15,4,2,2,0,950,1,0,0,4,8,27,0,0,0,0,0
228,18,1,1,3,0,1949,0,0,0,4,8,238,1,0,0,0,0
229,35,7,0,1,0,2383,1,0,0,4,8,124,0,0,0,0,0
230,29,1,1,0,0,904,1,0,0,4,8,18,0,0,0,0,0
231,13,7,1,1,0,1304,1,0,0,4,8,730,1,0,0,0,0
232,39,2,1,1,0,1210,1,0,0,4,8,746,1,0,0,0,0
233,35,1,1,3,0,2732,0,0,0,4,8,121,0,0,0,0,0
234,37,1,1,0,0,1543,1,0,0,4,8,247,0,0,0,0,0
235,27,1,1,0,0,941,1,0,0,4,8,40,0,0,0,0,0
236,35,0,0,1,0,1231,1,0,0,4,8,181,1,0,0,0,0
237,19,1,1,0,0,916,1,0,0,4,8,79,0,0,0,0,0
238,26,0,0,1,0,982,1,0,0,4,8,206,0,0,0,0,0
239,31,1,0,0,0,907,1,1,0,4,8,389,0,0,0,0,0
240,28,9,1,1,0,1265,1,1,0,4,8,127,0,0,0,0,0
241,25,2,1,3,0,1016,1,0,0,4,8,702,0,0,0,0,0
242,20,0,1,1,0,916,0,0,0,4,8,151,0,0,0,0,0
243,25,9,1,1,0,1350,1,0,0,4,8,117,0,0,0,0,0
244,31,4,1,2,0,3995,1,0,0,4,8,232,2,0,0,0,0
245,24,4,1,3,0,1191,0,0,0,4,8,408,1,0,0,0,0
246,4,1,2,1,0,916,1,0,0,4,8,179,1,0,0,0,0
247,22,4,1,2,0,1123,1,0,0,4,8,39,0,0,0,0,0
248,21,1,1,1,0,1399,1,0,0,4,8,282,0,0,0,0,0
249,33,7,1,1,0,3136,1,0,0,4,8,714,1,0,0,0,0
250,31,0,1,1,0,1344,1,0,0,4,8,50,0,0,0,0,0
251,35,1,1,1,0,916,1,1,0,4,8,181,0,0,0,0,0
252,16,7,2,1,0,916,1,0,0,4,8,142,0,0,0,0,0
253,15,9,0,1,0,1056,1,0,0,4,8,227,0,0,0,0,0
254,32,4,2,2,0,1213,1,0,0,4,8,119,0,0,0,0,0
255,21,1,1,0,0,1195,1,0,0,4,8,361,0,0,0,0,0
256,41,2,0,1,0,1817,1,0,0,4,8,73,2,0,0,0,0
257,12,9,2,1,0,3430,1,0,0,4,8,67,1,0,0,0,0
258,18,7,1,1,0,1059,1,1,0,4,8,350,0,0,0,0,0
259,22,1,1,1,0,1391,1,0,0,4,8,332,1,0,0,0,0
260,35,1,1,1,0,986,1,0,0,4,8,611,1,0,0,0,0
261,16,4,2,2,0,1234,1,0,0,4,8,113,1,0,0,0,0
262,19,9,1,1,0,1191,1,0,0,4,8,132,0,0,0,0,0
263,24,4,0,2,0,1658,1,0,0,4,8,58,2,0,0,0,0
264,23,2,1,0,0,1152,1,0,0,4,8,151,0,0,0,0,0
265,12,8,2,2,0,941,1,0,0,4,8,89,1,0,0,0,0
266,19,4,2,2,0,1516,1,0,0,4,8,152,0,0,0,0,0
267,21,0,0,1,0,569,1,0,0,4,8,611,1,0,0,0,0
268,23,1,1,0,0,1099,1,1,0,4,8,110,1,0,0,0,0
269,22,1,1,0,0,916,1,0,0,4,8,463,0,0,0,0,0
270,24,4,2,2,0,916,1,1,0,4,8,562,1,0,0,0,1
271,22,1,0,0,0,916,1,0,0,4,8,960,0,0,0,0,0
272,39,9,1,1,0,1994,1,0,0,4,8,10,3,0,0,0,0
273,38,2,0,1,0,1071,0,0,0,4,8,118,2,0,0,0,0
274,19,0,1,1,0,1106,1,0,0,4,8,92,1,0,0,0,0
275,41,5,1,1,0,1235,1,0,0,4,8,143,2,0,0,0,0
276,21,7,0,1,0,731,1,0,0,4,8,189,2,0,0,0,0
277,31,7,1,1,0,963,0,0,0,4,8,234,1,0,0,0,0
278,20,7,2,1,0,1486,1,0,0,4,8,75,1,0,0,0,0
279,18,6,1,2,0,935,0,0,0,4,8,189,1,0,0,0,0
280,32,1,1,0,0,977,1,0,0,4,8,621,2,0,0,0,0
281,23,0,1,1,0,854,1,1,0,4,8,55,1,0,0,0,0
282,36,9,1,2,0,1174,0,0,0,4,8,310,3,0,0,0,0
283,40,1,1,0,0,992,1,0,0,4,8,156,1,0,0,0,0
284,12,1,2,1,0,916,1,0,0,4,8,5,1,0,0,0,0
285,15,0,2,1,0,1268,1,0,0,4,8,225,1,0,0,0,0
286,29,0,1,1,0,1284,1,0,0,4,8,125,1,0,0,0,0
287,32,9,2,2,0,1255,1,0,0,4,8,2,2,0,0,0,0
288,14,1,1,1,0,2247,1,0,0,4,8,286,1,0,0,0,0
289,22,6,1,1,0,1588,1,0,0,4,8,164,1,0,0,0,0
290,19,4,1,2,0,974,1,0,0,4,8,98,1,0,0,0,0
291,36,9,2,3,0,1363,1,0,0,4,8,742,1,0,0,0,0
292,6,8,2,1,0,1339,1,0,0,4,8,226,2,0,0,0,0
293,36,4,1,2,0,916,0,0,0,4,8,120,1,0,0,0,0
294,16,9,1,1,0,935,1,0,0,4,8,362,3,0,0,0,0
295,38,9,0,0,0,929,1,0,0,4,8,357,1,0,0,0,0
296,13,1,2,1,0,919,1,0,0,4,8,200,1,0,0,0,0
297,6,8,2,1,0,998,1,0,0,4,8,204,1,0,0,0,0
298,24,1,0,0,0,944,1,0,0,4,8,126,2,0,0,0,0
299,39,9,1,1,0,1708,1,0,0,4,8,65,1,0,0,0,0
300,24,1,1,3,0,1324,1,0,0,4,8,107,1,0,0,0,0
301,33,0,1,1,0,1447,1,0,0,4,8,267,1,0,0,0,0
302,39,5,1,1,0,1127,1,0,0,4,8,248,1,0,0,0,0
303,18,7,2,1,0,978,1,0,0,4,8,215,1,0,0,0,0
304,35,7,1,3,0,1173,1,0,0,4,8,209,1,0,0,0,0
305,32,9,1,1,0,2150,1,0,0,4,8,205,1,0,0,0,0
